Group Number        	Animal Number	Lactation Number	Days In Milk	Yield Today Session 1	Milk Time Today For Session 1	Duration Today Session 1 (mm:ss)	Yield First 2 Min. Session 1 Today	Flow 0-15 Session 1 Today	Flow 15-30 Session 1 Today	Flow 30-60 Session 1 Today	Flow 60-120 Session 1 Today	Avg flow Today For Session 1	Peak Flow Today For Session 1	Take Off Flow Today For Session 1	Milk Time Today For Session 2	Duration Today Session 2 (mm:ss)	Yield Today Session 2	Yield First 2 Min. Session 2 Today	Flow 0-15 Session 2 Today	Flow 15-30 Session 2 Today	Flow 30-60 Session 2 Today	Flow 60-120 Session 2 Today	Avg flow Today For Session 2	Peak Flow Today For Session 2	Take Off Flow Today For Session 2
1                   	5402         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	5403         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	5407         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	5408         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	5409         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4584         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4585         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4586         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4587         	0               	            	                     	                             	                                	1.60                              	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4588         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
1                   	4573         	0               	            	                     	                             	                                	                                  	                         	                          	                          	                           	                            	                             	                                 	                             	                                	                     	                                  	                         	                          	                          	                           	                            	                             	                                 
