cromo;30/07/2017;;;;
Timezone;-3;;;;
;;;;;
Serial;No.;764F200001AF9021;;;
Location:;Lilian Letra;;;;
High;temperature;limit;(°C);46;38
Low;temperature;limit;(°C);14;5
Date;-;Time;Temperature (°C);;
27/07/2017;14:30;23.875;;;
27/07/2017;15:00;24.000;;;
27/07/2017;15:30;38.500;;;
27/07/2017;16:00;39.000;;;
27/07/2017;16:30;38.875;;;
27/07/2017;17:00;38.875;;;
27/07/2017;17:30;38.875;;;
27/07/2017;18:00;38.875;;;
27/07/2017;18:30;38.875;;;
27/07/2017;19:00;38.750;;;
27/07/2017;19:30;38.625;;;
27/07/2017;20:00;38.750;;;
27/07/2017;20:30;39.000;;;
27/07/2017;21:00;39.125;;;
27/07/2017;21:30;38.875;;;
27/07/2017;22:00;38.875;;;
27/07/2017;22:30;38.875;;;
27/07/2017;23:00;38.750;;;
27/07/2017;23:30;38.750;;;
28/07/2017;00:00;38.875;;;
28/07/2017;00:30;38.875;;;
28/07/2017;01:00;38.625;;;
28/07/2017;01:30;38.625;;;
28/07/2017;02:00;38.875;;;
28/07/2017;02:30;38.750;;;
28/07/2017;03:00;38.625;;;
28/07/2017;03:30;38.500;;;
28/07/2017;04:00;38.500;;;
28/07/2017;04:30;38.500;;;
28/07/2017;05:00;38.750;;;
28/07/2017;05:30;38.625;;;
28/07/2017;06:00;38.625;;;
28/07/2017;06:30;38.750;;;
28/07/2017;07:00;38.750;;;
28/07/2017;07:30;38.750;;;
28/07/2017;08:00;38.625;;;
28/07/2017;08:30;38.625;;;
28/07/2017;09:00;38.750;;;
28/07/2017;09:30;38.875;;;
28/07/2017;10:00;38.750;;;
28/07/2017;10:30;27.750;;;
28/07/2017;11:00;38.750;;;
28/07/2017;11:30;38.625;;;
28/07/2017;12:00;38.625;;;
28/07/2017;12:30;38.750;;;
28/07/2017;13:00;38.625;;;
28/07/2017;13:30;38.750;;;
28/07/2017;14:00;38.750;;;
28/07/2017;14:30;39.000;;;
28/07/2017;15:00;38.750;;;
28/07/2017;15:30;38.750;;;
28/07/2017;16:00;38.875;;;
28/07/2017;16:30;39.250;;;
28/07/2017;17:00;39.125;;;
28/07/2017;17:30;38.875;;;
28/07/2017;18:00;38.625;;;
28/07/2017;18:30;38.625;;;
28/07/2017;19:00;38.875;;;
28/07/2017;19:30;38.625;;;
28/07/2017;20:00;38.500;;;
28/07/2017;20:30;38.375;;;
28/07/2017;21:00;38.500;;;
28/07/2017;21:30;38.750;;;
28/07/2017;22:00;38.875;;;
28/07/2017;22:30;38.750;;;
28/07/2017;23:00;38.625;;;
28/07/2017;23:30;38.750;;;
29/07/2017;00:00;38.625;;;
29/07/2017;00:30;38.750;;;
29/07/2017;01:00;38.625;;;
29/07/2017;01:30;38.750;;;
29/07/2017;02:00;38.750;;;
29/07/2017;02:30;38.750;;;
29/07/2017;03:00;38.625;;;
29/07/2017;03:30;38.500;;;
29/07/2017;04:00;38.500;;;
29/07/2017;04:30;38.625;;;
29/07/2017;05:00;38.625;;;
29/07/2017;05:30;38.625;;;
29/07/2017;06:00;38.375;;;
29/07/2017;06:30;38.750;;;
29/07/2017;07:00;39.000;;;
29/07/2017;07:30;38.875;;;
29/07/2017;08:00;38.625;;;
29/07/2017;08:30;38.750;;;
29/07/2017;09:00;39.000;;;
29/07/2017;09:30;39.125;;;
29/07/2017;10:00;38.750;;;
29/07/2017;10:30;38.500;;;
29/07/2017;11:00;38.500;;;
29/07/2017;11:30;38.625;;;
29/07/2017;12:00;38.750;;;
29/07/2017;12:30;38.875;;;
29/07/2017;13:00;38.750;;;
29/07/2017;13:30;38.500;;;
29/07/2017;14:00;38.625;;;
29/07/2017;14:30;38.875;;;
29/07/2017;15:00;38.875;;;
29/07/2017;15:30;38.875;;;
29/07/2017;16:00;38.750;;;
29/07/2017;16:30;38.875;;;
29/07/2017;17:00;38.875;;;
29/07/2017;17:30;38.750;;;
29/07/2017;18:00;38.875;;;
29/07/2017;18:30;38.875;;;
29/07/2017;19:00;39.000;;;
29/07/2017;19:30;38.750;;;
29/07/2017;20:00;38.875;;;
29/07/2017;20:30;39.000;;;
29/07/2017;21:00;38.750;;;
29/07/2017;21:30;38.875;;;
29/07/2017;22:00;39.000;;;
29/07/2017;22:30;39.250;;;
29/07/2017;23:00;39.000;;;
29/07/2017;23:30;38.875;;;
30/07/2017;00:00;39.000;;;
30/07/2017;00:30;38.750;;;
30/07/2017;01:00;38.625;;;
30/07/2017;01:30;38.625;;;
30/07/2017;02:00;38.625;;;
30/07/2017;02:30;38.500;;;
30/07/2017;03:00;38.500;;;
30/07/2017;03:30;38.625;;;
30/07/2017;04:00;38.750;;;
30/07/2017;04:30;38.625;;;
30/07/2017;05:00;38.750;;;
30/07/2017;05:30;38.625;;;
30/07/2017;06:00;38.625;;;
30/07/2017;06:30;38.875;;;
30/07/2017;07:00;38.875;;;
30/07/2017;07:30;38.875;;;
30/07/2017;08:00;38.625;;;
30/07/2017;08:30;38.625;;;
30/07/2017;09:00;38.875;;;
30/07/2017;09:30;38.875;;;
30/07/2017;10:00;38.750;;;
30/07/2017;10:30;38.625;;;
30/07/2017;11:00;38.500;;;
30/07/2017;11:30;38.750;;;
30/07/2017;12:00;17.375;;;
30/07/2017;12:30;17.250;;;
30/07/2017;13:00;17.750;;;
30/07/2017;13:30;18.750;;;
30/07/2017;14:00;18.750;;;
30/07/2017;14:30;18.750;;;
30/07/2017;15:00;18.875;;;
30/07/2017;15:30;19.000;;;
30/07/2017;16:00;19.125;;;
30/07/2017;16:30;19.250;;;
30/07/2017;17:00;20.125;;;
